;Estação Centro Av Contorno - Belo Horizonte - Regap;;;;;;;;;;;
Data e Hora;PM10;NO2;O3;SO2;PM 2,5;CO;Tº;DV;PP;VV;RS;UR
;µg/m3;µg/m3;µg/m3;µg/m3;µg/m3;PPM;ºc;º;mm;m/s;W/m2;%
01/01/2019 00:30;61,03;0,46;1,67;;12;0,51;22,17;114,5;0;0,84;2,85;88,4
01/01/2019 01:30;48,54;0,76;1,86;;10;0,65;22,09;109,19;0;0,49;3,99;89,77
01/01/2019 02:30;41,31;1,01;0,97;;7;0,54;22,37;122,89;0;1,08;4,75;87,35
01/01/2019 03:30;25,06;0,65;1,42;;5;0,39;22,38;121,89;0;0,94;4,05;87,23
01/01/2019 04:30;27,91;0,38;2,47;;5;0,42;21,41;56,58;28,8;0,92;4,89;94,99
01/01/2019 05:30;23,87;0,86;8,41;;3;0,51;21,07;116,14;8,4;0,84;10,28;97,77
01/01/2019 06:30;21,53;2,92;20,62;;3;0,44;21,14;128,2;0,4;0,41;20,03;97,7
01/01/2019 07:30;11,9;12,01;11,5;;7;0,42;21,34;312,55;0;0,33;34,75;98,14
01/01/2019 08:30;15,49;9,69;13,22;;6;0,39;21,47;213,32;8;0,74;91,26;97,97
01/01/2019 09:30;14,47;5,95;12,84;;6;0,44;22,64;188,19;0;0,64;266,45;92,55
01/01/2019 10:30;9,11;4,59;17,82;;5;0,45;25,89;162,42;0;0,89;736,16;75,15
01/01/2019 11:30;8,98;0,8;30,85;;3;0,43;29,33;47,18;0;1,1;1072,09;60,57
01/01/2019 12:30;5,6;0,64;40,75;;3;0,42;30,12;291,45;0;1,23;506,5;55,59
01/01/2019 13:30;6,52;2,88;30,4;;2;0,47;26,25;312,18;0;2,62;142,8;71,11
01/01/2019 14:30;5,6;3,9;23,64;;;0,5;25,63;220,13;0;1,14;328,46;75,36
01/01/2019 15:30;4,16;2,64;30,25;;;0,5;27,36;112,48;0;1,34;423,82;66
01/01/2019 16:30;23,29;1,55;36,46;;6;0,46;27,3;117,53;0;2,32;442,12;67,25
01/01/2019 17:30;15,17;1,17;38,22;;3;0,44;26,53;104,26;0;1,33;137,97;66,66
01/01/2019 18:30;8,73;2,62;16,45;;3;0,47;25,78;121,94;0;1,16;20,36;72,62
01/01/2019 19:30;17,26;6,92;11,61;;6;0,46;24,86;109,72;0;0,77;1,61;78,65
01/01/2019 20:30;20,16;4,68;9;;8;0,56;24,28;110,05;0;0,85;2,05;81,88
01/01/2019 21:30;18,59;3,48;5,2;;6;0,46;23,97;127,15;0;0,73;2,49;83,54
01/01/2019 22:30;20,07;1,67;3,93;;2;0,42;23,71;119,32;0;1,35;2,84;85,38
01/01/2019 23:30;20,63;1,41;3,38;;4;0,46;23;107,49;0;0,35;2,89;86,79
02/01/2019 00:30;16,81;0,34;1,91;;;0,28;22,83;103,75;0;0,71;1,82;85,1
02/01/2019 01:30;18,93;0,26;2,44;;2;0,33;22,65;116,89;0;0,56;2,19;85,15
02/01/2019 02:30;19,52;0,24;1,78;;6;0,31;21,92;93,44;0;0,49;1,82;89,29
02/01/2019 03:30;24,67;0,74;1,11;;7;0,31;21,54;97,43;0;0,35;1,62;91,37
02/01/2019 04:30;21,65;0,59;0,76;;9;0,39;21,24;94,1;0;0,21;1,93;93,46
02/01/2019 05:30;14,2;3,51;1,53;;11;0,8;21,46;93,06;0;0,2;18,48;94,2
02/01/2019 06:30;28,41;7,48;3,72;;12;1,18;25,96;110,33;0;0,89;142,89;73,16
02/01/2019 07:30;35,96;7,17;15,88;;9;0,7;28,39;111,09;0;1,06;376,82;60,82
02/01/2019 08:30;36,09;2,33;19,59;;5;0,48;29,56;95,41;0;1,2;596,41;54,05
02/01/2019 09:30;19,94;1,54;19,03;;4;0,35;30,51;65,84;0;1,23;830,47;50,14
02/01/2019 10:30;13,71;1,49;27,44;;7;0,37;31,22;12,15;0;1,47;819,72;47,82
02/01/2019 11:30;13,59;1,92;40,38;;5;0,45;31,9;62,18;0;1,63;947,37;46,7
02/01/2019 12:30;18,92;2,27;51,54;;2;0,54;32,78;37,74;0;1,61;588,39;43,25
02/01/2019 13:30;18,74;2,37;48,93;;3;0,38;32,86;50,79;0;1,62;422,19;42,1
02/01/2019 14:30;25,31;1,06;39,61;;23;0,4;31,87;47,43;0;1,37;202,96;44,02
02/01/2019 15:30;25,05;5,27;32,34;;7;0,42;32,56;337,73;0;1,43;413,99;42,31
02/01/2019 16:30;22,15;8,84;30,66;;7;0,46;31,59;246,07;0;2,04;183,22;47,21
02/01/2019 17:30;20,21;3,09;36,28;;;0,34;22,96;125,85;14;2,95;49,69;96,84
02/01/2019 18:30;25,41;7,78;9,82;;6;0,55;23,54;111,85;0;0,6;10,73;95,28
02/01/2019 19:30;21,66;11,26;3,01;;6;0,66;24,03;76,55;0;0,35;6,51;93,04
02/01/2019 20:30;28,46;8,75;2,35;;8;0,67;24,23;100,71;0;0,8;4,56;85,74
02/01/2019 21:30;32,69;4,3;3,41;;11;0,5;23,86;117,44;0;0,95;5,28;84,86
02/01/2019 22:30;23,07;1,96;3,68;;8;0,39;24,02;119,48;0;0,92;5,66;83,22
02/01/2019 23:30;14,84;1,1;5,05;;5;0,33;24,14;123,62;0;0,83;3,46;82,35
03/01/2019 00:30;18,59;0,28;2,12;;7;0,29;23,64;103,9;0;0,67;2,41;84,76
03/01/2019 01:30;21,01;0,37;2,02;;10;0,31;23,38;99,98;0;0,77;2,51;85,97
03/01/2019 02:30;23,93;0,22;2,08;;9;0,32;23,26;108,4;0;1,04;2,41;86,12
03/01/2019 03:30;23,83;0,19;1,95;;8;0,32;22,94;117,23;0;0,71;2,1;87,69
03/01/2019 04:30;22,51;0,43;1,04;;5;0,35;22,36;103,87;0;0,35;1,89;91,35
03/01/2019 05:30;12,77;2,82;1,67;0,1;5;0,63;22,61;110,34;0;0,63;13,55;90,34
03/01/2019 06:30;;6,8;3,42;0,19;;0,81;23,47;108,09;0;0,86;35,4;85,72
03/01/2019 07:30;41,1;10,78;7,28;0,31;17;0,92;24,27;95,32;0;0,7;84,6;82,15
03/01/2019 08:30;38,86;9,6;7,96;0,22;14;0,98;25,79;112,2;0;0,87;194,33;73,86
03/01/2019 09:30;32,42;3,46;12,67;0,36;8;0,47;27,85;129,76;0;0,95;389,89;61,1
03/01/2019 10:30;23,95;4,16;19,1;0,54;12;0,44;30,26;22,35;0;1,13;636,85;52,52
03/01/2019 11:30;24,82;7;28,23;0,43;9;0,51;30,79;318,56;0;1,87;439,32;52,37
03/01/2019 12:30;43,08;4,61;43,08;0,23;10;0,46;31,47;320,59;0;1,69;560,65;52,07
03/01/2019 13:30;37,68;5,74;47,75;0,21;11;0,51;32,09;325,55;0;1,73;415,66;47,82
03/01/2019 14:30;31,57;6,23;42,61;0,15;17;0,57;31,53;329,2;0;1,59;443,95;50,27
03/01/2019 15:30;31,65;2,54;28,7;0,22;5;0,47;31,04;65,55;0;1,82;422,91;50,74
03/01/2019 16:30;29,28;3,77;34,84;0,11;12;0,47;30,5;67,5;0;1,3;150,16;50,25
03/01/2019 17:30;22,12;5,87;35,94;;15;0,56;29,48;81,77;0;0,9;59,25;53,39
03/01/2019 18:30;43,5;7,37;13,13;0,1;9;0,53;28,61;51,63;0;0,65;9,82;58,02
03/01/2019 19:30;32,63;8,23;11,73;0,14;10;0,59;27,32;58,62;0;0,34;1,88;62,67
03/01/2019 20:30;33,31;9,41;2,98;0,17;14;0,76;26,75;127,76;0;0,52;1,98;66,03
03/01/2019 21:30;37,52;8,14;2,84;;22;0,87;26,6;89,21;0;0,15;2,82;66,47
03/01/2019 22:30;56,04;4,56;1,53;;15;1,01;26,42;128,61;0;0,63;2,34;67,24
03/01/2019 23:30;46,77;3,31;1,49;;11;0,58;25,83;105,1;0;0,52;3,02;73,84
04/01/2019 00:30;43,97;1,03;0,81;;10;0,38;25,51;90,86;0;0,17;3,38;75,93
04/01/2019 01:30;47,18;3,33;0,83;;20;0,45;25,59;62,41;0;0,63;3,53;74,29
04/01/2019 02:30;50,83;1,75;1,3;;6;0,28;25,05;31,29;0;0,95;2,99;77,43
04/01/2019 03:30;36,82;0,74;1,41;;10;0,18;24,54;98,92;0;0,9;3,76;79,52
04/01/2019 04:30;32,88;0,57;1,68;;8;0,22;24,28;126,38;0;1,23;2,1;79,24
04/01/2019 05:30;35,61;1,95;3,08;;;0,28;23,04;69,31;4,4;0,98;4,94;91,99
04/01/2019 06:30;31,89;4,44;13,6;;10;0,28;21,77;116,84;4,4;2,25;12,62;93,59
04/01/2019 07:30;24,47;8,26;27,42;;10;0,3;21;143,04;1,6;1,28;43,41;92,78
04/01/2019 08:30;13,05;19,08;8,04;0,2;8;0,59;21,46;325,78;0;0,82;120,15;90,87
04/01/2019 09:30;20,37;17,85;7,62;0,16;10;0,59;22,59;308,23;0;1,31;260,69;85,37
04/01/2019 10:30;24,32;18,45;7,57;0,32;12;0,64;23,99;295,45;0;2,05;290,83;77,48
04/01/2019 11:30;25,8;15,15;16,3;0,13;11;0,63;26,28;298,62;0;2,81;663,19;68,15
04/01/2019 12:30;16,93;18,17;18,7;;7;0,61;27,54;307,04;0;3,36;581,74;62,14
04/01/2019 13:30;15,75;23,19;22,65;;6;0,45;27,11;315,57;0;2,46;361,23;62,11
04/01/2019 14:30;17,44;31,5;19,86;;9;0,42;27,39;313,29;0;2,15;350,54;60,23
04/01/2019 15:30;19,26;35,49;18,03;;6;0,4;27,66;308,67;0;2,55;322,62;54,33
04/01/2019 16:30;16,82;39,15;16,31;0,1;4;0,52;27,44;301,94;0;1,45;167,26;53,48
04/01/2019 17:30;10,74;41,25;20,66;;6;0,43;26,49;317,49;0;1,15;51,96;56,22
04/01/2019 18:30;13,74;43,95;6,3;;11;0,53;25,57;333,23;0;0,94;5,91;62,6
04/01/2019 19:30;33,72;35,14;12,54;0,1;11;0,51;25,02;343,64;0;0,72;2,94;65,76
04/01/2019 20:30;33,85;24,08;4,72;;10;0,56;24,56;70,22;0;0,57;2,6;69,99
04/01/2019 21:30;45,31;19,56;2,02;;14;0,73;24,32;125,12;0;0,68;2,88;72,83
04/01/2019 22:30;42,8;10,2;2,35;;11;0,54;23,85;234,37;0;0,52;3;74,09
04/01/2019 23:30;46,97;9,47;2,33;0,1;15;0,52;23,97;116,65;0;0,89;2,42;72,86
05/01/2019 00:30;41,93;3,92;0,84;0,12;9;0,39;23,08;100,85;0;0,66;2,55;79,68
05/01/2019 01:30;38,02;4,08;0,86;0,11;13;0,46;22,7;327,62;0;0,67;3,1;81,91
05/01/2019 02:30;35,06;4,11;0,96;0,16;19;0,59;22,62;328,11;0;0,75;3,36;83,55
05/01/2019 03:30;39,77;3,6;0,63;0,18;14;0,55;22,59;96,93;0;0,93;2,09;83,28
05/01/2019 04:30;42,1;2,43;0,79;0,16;9;0,37;21,36;99,48;0;0,86;2,02;86,98
05/01/2019 05:30;34,35;6,56;1,76;0,39;15;0,41;21,36;56,92;0;0,21;28,94;88,41
05/01/2019 06:30;45,53;12,95;5,82;0,91;13;0,84;23,03;115,59;0;0,82;89,22;78,84
05/01/2019 07:30;41,81;19,31;19,96;1,31;12;0,45;23,82;109,14;0;0,7;167,53;71,62
05/01/2019 08:30;37,62;20,73;14,67;1,41;23;0,64;25,86;74,25;0;0,52;351,15;63,6
05/01/2019 09:30;45,29;20,69;14,66;1,32;16;0,53;29,64;338,06;0;0,99;704,32;48,07
05/01/2019 10:30;39,93;15,69;23,35;1,25;6;0,43;30,94;327,21;0;1,53;667,11;42,06
05/01/2019 11:30;27,23;16,03;36,75;1,17;18;0,48;31,6;296,52;0;1,88;711,4;42,6
05/01/2019 12:30;33,54;16,57;38,8;0,99;13;0,42;32,28;303,15;0;2,1;639,55;41,45
05/01/2019 13:30;29,14;8,47;37,17;0,93;11;0,25;32,63;326,47;0;2,12;595,6;38,43
05/01/2019 14:30;23,1;9,21;30,18;0,86;6;0,26;32,39;322,82;0;2,12;551,69;40,24
05/01/2019 15:30;17,88;6,99;31,69;0,77;4;0,22;31,93;332,71;0;2,08;376,27;41,12
05/01/2019 16:30;14,24;7,41;40,62;0,74;11;0,29;29,68;109,26;0;1,87;302,74;46,18
05/01/2019 17:30;17,44;9,47;54,74;0,71;9;0,49;29,48;121,03;0;1,17;130,9;46,6
05/01/2019 18:30;27,29;8,74;26,23;0,5;8;0,5;28,66;119,77;0;1,02;22,46;49,96
05/01/2019 19:30;33,33;7,85;25,72;0,26;8;0,6;27,55;92,75;0;0,74;1,27;55,54
05/01/2019 20:30;41,23;11,1;10,16;0,22;9;0,62;27,11;103,83;0;0,81;1,87;56,97
05/01/2019 21:30;35,64;8,9;5,23;0,18;12;0,39;26,3;121,88;0;0,98;0,88;59,6
05/01/2019 22:30;34,08;4;4,5;0,1;10;0,48;25,36;105,83;0;0,71;1,99;65,75
05/01/2019 23:30;36,64;5,15;2,03;0,1;;0,59;25,29;39,05;0;0,47;3,79;67,72
06/01/2019 00:30;37,64;1,96;1,26;;19;0,44;25,4;122,57;0;0,83;2,8;65,7
06/01/2019 01:30;35,86;1,72;1,79;;9;0,46;24,61;45,31;0;0,75;1,8;69,83
06/01/2019 02:30;40,85;1,54;1,91;0,1;8;0,25;23,96;119,98;0;0,83;2,28;72,9
06/01/2019 03:30;35,9;1,66;1,43;0,12;10;0,23;23,38;107,57;0;0,97;2,21;75,8
06/01/2019 04:30;40,15;2,16;0,75;0,11;17;0,27;22,99;117,92;0;1,16;1,59;76,48
06/01/2019 05:30;35,2;5,05;2,73;0,28;12;0,35;22,78;98,88;0;0,69;17,4;76,78
06/01/2019 06:30;35,24;6,67;13,06;0,62;12;0,42;25,09;124,48;0;0,97;132,39;67,98
06/01/2019 07:30;35,1;8,53;27,57;0,8;7;0,32;27,54;115,33;0;1,66;367,05;57,32
06/01/2019 08:30;35,22;6,43;25,75;0,82;8;0,17;28,94;116,35;0;1,73;630,55;50,2
06/01/2019 09:30;25,83;4,42;19,83;0,7;6;0,18;30,77;81,33;0;1,65;879,04;44,81
06/01/2019 10:30;24,98;4,06;23,85;0,45;6;0,27;32,04;51,09;0;1,82;1025,38;41,13
06/01/2019 11:30;18,11;4,66;36,85;0,41;3;0,34;32,98;356,95;0;1,87;1010,25;37,53
06/01/2019 12:30;21,7;5,36;43,42;0,26;7;0,38;33,55;39,43;0;1,79;700,91;35,61
06/01/2019 13:30;29,46;4,11;48,19;0,46;8;0,27;34,65;4,32;0;1,62;741,29;31,01
06/01/2019 14:30;18,81;5,92;43,57;0,34;10;0,17;34,59;343,36;0;1,67;767,24;28,64
06/01/2019 15:30;17,82;4,73;45,41;0,29;;0,16;33,64;73,48;0;1,64;420,72;34,39
06/01/2019 16:30;18,15;4,51;41,97;0,24;;0,17;32,97;105,19;0;2,02;378,79;37,69
06/01/2019 17:30;11,17;5,02;47,38;0,31;6;0,2;31,92;104,04;0;1,61;48,91;37,13
06/01/2019 18:30;18,71;6,58;23,78;0,29;6;0,2;30,58;90,97;0;0,74;5,35;36,88
06/01/2019 19:30;17,49;8,98;24,28;0,16;11;0,32;28,8;120,95;0;0,81;0,19;34,75
06/01/2019 20:30;16,43;6,04;18,79;;9;0,36;28,19;118,55;0;2,09;0,64;49,4
06/01/2019 21:30;31,12;2,65;15,49;;13;0,21;27,02;119,89;0;2,12;1,27;61,21
06/01/2019 22:30;44,02;1,3;12,92;;11;0,18;26,53;120,41;0;1,9;1,54;61,66
06/01/2019 23:30;28,48;0,9;10,23;;6;0,1;26,06;132,85;0;1,55;1,18;64,45
07/01/2019 00:30;19,63;0,3;4,16;;11;0,26;25,48;120,84;0;1,58;1,18;67,24
07/01/2019 01:30;20,38;0,37;3,87;;6;0,29;24,95;126,32;0;1,41;1,07;69,63
07/01/2019 02:30;28,59;0,38;3,52;;6;0,29;24,58;109,35;0;1,55;1,39;71,28
07/01/2019 03:30;28,35;0,43;3,42;;4;0,32;24,19;111,29;0;1,41;1,29;72,76
07/01/2019 04:30;26,14;0,53;2,82;;4;0,33;23,8;115,34;0;1,89;1,92;74,7
07/01/2019 05:30;23,66;1,88;7,74;;8;0,45;23,93;115,73;0;2,17;15,7;73,44
07/01/2019 06:30;20,13;3,62;20,77;;8;0,55;25,85;116,76;0;2,33;139,33;64,74
07/01/2019 07:30;15,92;4,54;34,19;;7;0,51;27,37;112,74;0;2,67;375,24;57,02
07/01/2019 08:30;34,59;2,66;26,04;;7;0,49;28,7;117,1;0;2,89;675,96;53,24
07/01/2019 09:30;20,5;1,91;18,34;;16;0,54;30,19;120,88;0;2,44;903,53;48,89
07/01/2019 10:30;23,1;1,26;23,32;;5;0,57;32,22;107,42;0;1,76;1067,05;44,64
07/01/2019 11:30;23,32;1,12;33,19;;;0,54;32,74;62,02;0;1,88;1024,51;40,94
07/01/2019 12:30;23,57;1,46;36,84;;3;0,52;33,59;78,46;0;2,08;690,2;36,35
07/01/2019 13:30;14,87;2,61;38,5;;3;0,4;34,84;34,81;0;1,74;807,77;33,09
07/01/2019 14:30;8,7;1,46;31,57;;2;0,45;34,54;86,82;0;1,92;787,88;34,98
