"";"Data";"PM10";"NO2";"O3";"SO2";"PM.2.5";"CO";"T";"DV";"PP";"VV";"RS";"UR"
"1";"01/01/2019 00:30";61,03;0,46;1,67;0,102352936759053;12;0,51;22,17;114,5;0;0,84;2,85;88,4
"2";"01/01/2019 01:30";48,54;0,76;1,86;0,104716692328889;10;0,65;22,09;109,19;0;0,49;3,99;89,77
"3";"01/01/2019 02:30";41,31;1,01;0,97;0,107080447898261;7;0,54;22,37;122,89;0;1,08;4,75;87,35
"4";"01/01/2019 03:30";25,06;0,65;1,42;0,109444203467633;5;0,39;22,38;121,89;0;0,94;4,05;87,23
"5";"01/01/2019 04:30";27,91;0,38;2,47;0,111807959037004;5;0,42;21,41;56,58;28,8;0,92;4,89;94,99
"6";"01/01/2019 05:30";23,87;0,86;8,41;0,114171714606376;3;0,51;21,07;116,14;8,4;0,84;10,28;97,77
"7";"01/01/2019 06:30";21,53;2,92;20,62;0,116535470175748;3;0,44;21,14;128,2;0,4;0,41;20,03;97,7
"8";"01/01/2019 07:30";11,9;12,01;11,5;0,11889922574512;7;0,42;21,34;312,55;0;0,33;34,75;98,14
"9";"01/01/2019 08:30";15,49;9,69;13,22;0,121262981314491;6;0,39;21,47;213,32;8;0,74;91,26;97,97
"10";"01/01/2019 09:30";14,47;5,95;12,84;0,123626736883863;6;0,44;22,64;188,19;0;0,64;266,45;92,55
"11";"01/01/2019 10:30";9,11;4,59;17,82;0,125990492453235;5;0,45;25,89;162,42;0;0,89;736,16;75,15
"12";"01/01/2019 11:30";8,98;0,8;30,85;0,128354248022605;3;0,43;29,33;47,18;0;1,1;1072,09;60,57
"13";"01/01/2019 12:30";5,6;0,64;40,75;0,130718003591979;3;0,42;30,12;291,45;0;1,23;506,5;55,59
"14";"01/01/2019 13:30";6,52;2,88;30,4;0,133081759161348;2;0,47;26,25;312,18;0;2,62;142,8;71,11
"15";"01/01/2019 14:30";5,6;3,9;23,64;0,135445514730718;3,41206121270063;0,5;25,63;220,13;0;1,14;328,46;75,36
"16";"01/01/2019 15:30";4,16;2,64;30,25;0,137809270300087;4,13793962798123;0,5;27,36;112,48;0;1,34;423,82;66
"17";"01/01/2019 16:30";23,29;1,55;36,46;0,140173025869457;6;0,46;27,3;117,53;0;2,32;442,12;67,25
"18";"01/01/2019 17:30";15,17;1,17;38,22;0,142536781438827;3;0,44;26,53;104,26;0;1,33;137,97;66,66
"19";"01/01/2019 18:30";8,73;2,62;16,45;0,144900537008196;3;0,47;25,78;121,94;0;1,16;20,36;72,62
"20";"01/01/2019 19:30";17,26;6,92;11,61;0,147264292577569;6;0,46;24,86;109,72;0;0,77;1,61;78,65
"21";"01/01/2019 20:30";20,16;4,68;9;0,149628048146939;8;0,56;24,28;110,05;0;0,85;2,05;81,88
"22";"01/01/2019 21:30";18,59;3,48;5,2;0,151991803716312;6;0,46;23,97;127,15;0;0,73;2,49;83,54
"23";"01/01/2019 22:30";20,07;1,67;3,93;0,154355559285685;2;0,42;23,71;119,32;0;1,35;2,84;85,38
"24";"01/01/2019 23:30";20,63;1,41;3,38;0,156719314855059;4;0,46;23;107,49;0;0,35;2,89;86,79
"25";"02/01/2019 00:30";16,81;0,34;1,91;0,159083070424435;3,58773447030042;0,28;22,83;103,75;0;0,71;1,82;85,1
"26";"02/01/2019 01:30";18,93;0,26;2,44;0,161446825993805;2;0,33;22,65;116,89;0;0,56;2,19;85,15
